country_code,country,nickname,region_member_of,population,ethnicity,white,yellow,brown,black,male_name,female_name
PNG,Papua New Guinea,Papua New Guinea,Melanesia,8000000,Papua New Guinea,1,1,97,1,Oliver,Charlotte
PRY,Paraguay,Paraguay,South America,6000000,Paraguay,2,1,96,1,Ramon,Maria
PER,Peru,Peru,South America,32000000,Peru,15,2,82,1,Luis,Maria
PHL,Philippines,Philippines,South-Eastern Asia,104000000,Philippines,6,7,81,6,John,Althea
POL,Poland,Poland,Eastern Europe,38000000,Poland,97,1,1,1,Antoni,Zuzanna
PRT,Portugal,Portugal,Southern Europe,10000000,Portugal,97,1,1,1,Rodrigo,Maria
PRI,Puerto Rico,Puerto Rico,Caribbean,3000000,Mexico,9,1,89,1,Sebastian,Valentina
QAT,Qatar,Qatar,Western Asia,2000000,Qatar,3,3,91,3,Mohamed,Maryam
ROU,Romania,Romania,Eastern Europe,19000000,Romania,95,1,3,1,Andrei,Maria
RUS,Russia,Russia,Eastern Europe,143000000,Russian Federation,87,1,11,1,Alexander,Sofiya
RWA,Rwanda,Rwanda,Eastern Africa,12000000,Rwanda,1,1,1,97,Manuel,Maria
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Caribbean,60000,Saint Kitts and Nevis,1,1,1,97,Jack,Amelia
LCA,Saint Lucia,Saint Lucia,Caribbean,180000,Saint Lucia,1,1,9,89,Jack,Amelia
MAF,Saint Martin,French Saint Martin,Caribbean,37000,Guyana,2,2,60,36,Gabriel,Louise
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Northern America,6000,Canada,68,2,28,2,Liam,Emma
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Caribbean,110000,Guyana,2,2,60,36,Sebastian,Camila
WSM,Samoa,Samoa,Polynesia,200000,Samoa,1,1,97,1,Nikau,Maia
SMR,San Marino,San Marino,Southern Europe,30000,San Marino,97,1,1,1,Francesco,Sofia
STP,Sao Tome and Principe,Sao Tome and Principe,Middle Africa,200000,Sao Tome and Principe,5,1,28,66,Manuel,Maria
